model_name,batch_size,input_tokens,max_new_tokens,total_tokens,dtype,use_cache,actual_peak_allocated_MB,predicted_peak_allocated_MB,parameter_memory_MB,token_memory_component_MB,batch_memory_component_MB,actual_peak_reserved_MB,absolute_error_MB,relative_error_percent,experiment_type
sshleifer/tiny-gpt2,1,32,32,64,fp32,True,12.5,24.392298371704104,0.7752532958984375,1.953125e-06,2.0,26.0,11.892298371704104,95.13838697363283,input_token_variation
sshleifer/tiny-gpt2,1,64,32,96,fp32,True,12.5,24.392299417602544,0.7752532958984375,2.9296875e-06,2.0,26.0,11.892299417602544,95.13839534082037,input_token_variation
sshleifer/tiny-gpt2,1,16,32,48,fp32,True,12.5,24.39229784875488,0.7752532958984375,1.46484375e-06,2.0,26.0,11.892297848754882,95.13838279003906,input_token_variation
sshleifer/tiny-gpt2,1,32,32,64,fp32,True,12.5,24.392298371704104,0.7752532958984375,1.953125e-06,2.0,26.0,11.892298371704104,95.13838697363283,input_token_variation
sshleifer/tiny-gpt2,1,64,32,96,fp32,True,12.5,24.392299417602544,0.7752532958984375,2.9296875e-06,2.0,26.0,11.892299417602544,95.13839534082037,input_token_variation
sshleifer/tiny-gpt2,1,128,32,160,fp32,True,12.51,24.392301509399417,0.7752532958984375,4.8828125e-06,2.0,26.0,11.882301509399417,94.9824261342879,input_token_variation
sshleifer/tiny-gpt2,1,256,32,288,fp32,True,12.51,24.392305692993165,0.7752532958984375,8.789062500000001e-06,2.0,26.0,11.882305692993166,94.9824595762843,input_token_variation
sshleifer/tiny-gpt2,1,512,32,544,fp32,True,12.53,24.392314060180663,0.7752532958984375,1.66015625e-05,2.0,26.0,11.862314060180664,94.67130135818569,input_token_variation
sshleifer/tiny-gpt2,1,64,8,72,fp32,True,12.5,24.392298633178715,0.7752532958984375,2.1972656250000003e-06,2.0,26.0,11.892298633178717,95.13838906542972,generated_token_variation
sshleifer/tiny-gpt2,1,64,16,80,fp32,True,12.5,24.39229889465332,0.7752532958984375,2.44140625e-06,2.0,26.0,11.892298894653322,95.13839115722658,generated_token_variation
sshleifer/tiny-gpt2,1,64,32,96,fp32,True,12.5,24.392299417602544,0.7752532958984375,2.9296875e-06,2.0,26.0,11.892299417602544,95.13839534082037,input_token_variation
sshleifer/tiny-gpt2,1,64,64,128,fp32,True,12.5,24.39230046350098,0.7752532958984375,3.90625e-06,2.0,26.0,11.89230046350098,95.13840370800784,generated_token_variation
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,12.5,24.392302555297857,0.7752532958984375,5.859375e-06,2.0,26.0,11.892302555297857,95.13842044238284,generated_token_variation
sshleifer/tiny-gpt2,1,64,256,320,fp32,True,12.51,24.392306738891605,0.7752532958984375,9.765625e-06,2.0,26.0,11.882306738891604,94.98246793678342,generated_token_variation
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,12.5,24.392302555297857,0.7752532958984375,5.859375e-06,2.0,26.0,11.892302555297857,95.13842044238284,generated_token_variation
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,12.5,24.392302555297857,0.7752532958984375,5.859375e-06,2.0,26.0,11.892302555297857,95.13842044238284,generated_token_variation
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,12.5,24.392302555297857,0.7752532958984375,5.859375e-06,2.0,26.0,11.892302555297857,95.13842044238284,generated_token_variation
sshleifer/tiny-gpt2,1,64,128,192,fp32,False,12.5,23.914022113037117,0.7752532958984375,5.859375e-06,2.0,26.0,11.414022113037111,91.3121769042969,cache_comparison
sshleifer/tiny-gpt2,1,64,128,192,fp32,False,12.5,23.914022113037117,0.7752532958984375,5.859375e-06,2.0,26.0,11.414022113037111,91.3121769042969,cache_comparison
sshleifer/tiny-gpt2,1,64,128,192,fp32,False,12.5,23.914022113037117,0.7752532958984375,5.859375e-06,2.0,26.0,11.414022113037111,91.3121769042969,cache_comparison
distilgpt2,1,16,32,48,fp32,True,331.22,358.22097625781254,312.4716796875,0.0016875,2.0,358.0,27.00097625781251,8.15197640776901,input_token_variation
distilgpt2,1,32,32,64,fp32,True,332.18,358.22157869531253,312.4716796875,0.00225,2.0,360.0,26.041578695312523,7.839598619818328,input_token_variation
distilgpt2,1,64,32,96,fp32,True,335.36,358.2227835703125,312.4716796875,0.003375,2.0,364.0,22.8627835703125,6.8173853680559695,input_token_variation
distilgpt2,1,128,32,160,fp32,True,343.24,358.22519332031254,312.4716796875,0.005625,2.0,366.0,14.985193320312533,4.365806234795634,input_token_variation
distilgpt2,1,256,32,288,fp32,True,354.5,358.23001282031254,312.4716796875,0.010125,2.0,396.0,3.730012820312538,1.0521897941643268,input_token_variation
distilgpt2,1,512,32,544,fp32,True,384.01,358.2396518203125,312.4716796875,0.019125,2.0,396.0,25.77034817968752,6.710853409986073,input_token_variation
distilgpt2,1,64,8,72,fp32,True,335.36,358.2218799140625,312.4716796875,0.00253125,2.0,364.0,22.861879914062516,6.81711590948906,generated_token_variation
distilgpt2,1,64,16,80,fp32,True,335.36,358.2221811328126,312.4716796875,0.0028125,2.0,364.0,22.86218113281257,6.8172057290113806,generated_token_variation
distilgpt2,1,64,32,96,fp32,True,335.36,358.2227835703125,312.4716796875,0.003375,2.0,364.0,22.8627835703125,6.8173853680559695,input_token_variation
distilgpt2,1,64,64,128,fp32,True,335.36,358.2239884453125,312.4716796875,0.0045,2.0,364.0,22.863988445312486,6.817744646145182,generated_token_variation
distilgpt2,1,64,128,192,fp32,True,336.48,358.2263981953125,312.4716796875,0.00675,2.0,368.0,21.74639819531251,6.462909592044849,generated_token_variation
distilgpt2,1,64,256,320,fp32,True,341.35,358.2312176953125,312.4716796875,0.01125,2.0,372.0,16.8812176953125,4.945427770708217,generated_token_variation
distilgpt2,1,64,128,192,fp32,True,336.48,358.2263981953125,312.4716796875,0.00675,2.0,368.0,21.74639819531251,6.462909592044849,generated_token_variation
distilgpt2,1,64,128,192,fp32,True,336.48,358.2263981953125,312.4716796875,0.00675,2.0,368.0,21.74639819531251,6.462909592044849,generated_token_variation
distilgpt2,1,64,128,192,fp32,True,336.48,358.2263981953125,312.4716796875,0.00675,2.0,368.0,21.74639819531251,6.462909592044849,generated_token_variation
distilgpt2,1,64,128,192,fp32,False,341.5,351.202351171875,312.4716796875,0.00675,2.0,384.0,9.702351171875025,2.841098439787708,cache_comparison
distilgpt2,1,64,128,192,fp32,False,341.5,351.202351171875,312.4716796875,0.00675,2.0,384.0,9.702351171875025,2.841098439787708,cache_comparison
distilgpt2,1,64,128,192,fp32,False,341.5,351.202351171875,312.4716796875,0.00675,2.0,384.0,9.702351171875025,2.841098439787708,cache_comparison
distilgpt2,1,64,64,128,fp32,True,335.36,358.2239884453125,312.4716796875,0.0045,2.0,364.0,22.863988445312486,6.817744646145182,generated_token_variation
distilgpt2,2,64,64,128,fp32,True,343.24,360.37080794531255,312.4716796875,0.009,4.0,372.0,17.13080794531254,4.990912465130096,batch_size_variation
distilgpt2,4,64,64,128,fp32,True,354.49,364.6644469453125,312.4716796875,0.018,8.0,396.0,10.174446945312468,2.8701647282892235,batch_size_variation
distilgpt2,8,64,64,128,fp32,True,384.0,373.2517249453125,312.4716796875,0.036,16.0,416.0,10.748275054687497,2.799029962158202,batch_size_variation
distilgpt2,1,128,128,256,fp32,True,343.74,358.2288079453125,312.4716796875,0.009,2.0,372.0,14.488807945312544,4.215048567321971,other
distilgpt2,1,128,128,256,fp32,True,343.24,358.2288079453125,312.4716796875,0.009,2.0,374.0,14.988807945312544,4.3668593244705,other
distilgpt2,1,128,128,256,fp32,True,343.24,358.2288079453125,312.4716796875,0.009,2.0,374.0,14.988807945312544,4.3668593244705,other
distilgpt2,1,128,128,256,fp16,True,181.25,190.89540397265628,156.23583984375,0.0045,2.0,190.0,9.645403972656284,5.321602191810363,precision_fp16
distilgpt2,1,128,128,256,fp16,True,181.25,190.89540397265628,156.23583984375,0.0045,2.0,190.0,9.645403972656284,5.321602191810363,precision_fp16
distilgpt2,1,128,128,256,fp16,True,181.25,190.89540397265628,156.23583984375,0.0045,2.0,190.0,9.645403972656284,5.321602191810363,precision_fp16
