stage,allocated_MB,reserved_MB,peak_allocated_MB,peak_reserved_MB,input_tokens,experiment_type
before_model_load,0.0,0.0,0.0,0.0,16,sequence_length_variation
after_model_load,2.79,4.0,2.79,4.0,16,sequence_length_variation
after_batch_creation,2.79,4.0,2.79,4.0,16,sequence_length_variation
after_optimizer_creation,2.79,4.0,2.79,4.0,16,sequence_length_variation
after_forward,18.07,24.0,18.07,24.0,16,sequence_length_variation
after_loss,18.07,24.0,18.07,24.0,16,sequence_length_variation
after_backward,24.58,46.0,27.27,46.0,16,sequence_length_variation
after_optimizer_step,26.16,48.0,27.27,48.0,16,sequence_length_variation
after_zero_grad,25.37,48.0,27.27,48.0,16,sequence_length_variation
before_model_load,17.93,22.0,17.93,22.0,32,sequence_length_variation
after_model_load,20.72,24.0,20.72,24.0,32,sequence_length_variation
after_batch_creation,20.72,24.0,20.72,24.0,32,sequence_length_variation
after_optimizer_creation,20.72,24.0,20.72,24.0,32,sequence_length_variation
after_forward,33.02,44.0,33.02,44.0,32,sequence_length_variation
after_loss,33.02,44.0,33.02,44.0,32,sequence_length_variation
after_backward,27.65,66.0,45.29,66.0,32,sequence_length_variation
after_optimizer_step,29.22,68.0,45.29,68.0,32,sequence_length_variation
after_zero_grad,28.44,68.0,45.29,68.0,32,sequence_length_variation
before_model_load,17.93,22.0,17.93,22.0,64,sequence_length_variation
after_model_load,20.72,24.0,20.72,24.0,64,sequence_length_variation
after_batch_creation,20.72,24.0,20.72,24.0,64,sequence_length_variation
after_optimizer_creation,20.72,24.0,20.72,24.0,64,sequence_length_variation
after_forward,45.3,52.0,45.3,52.0,64,sequence_length_variation
after_loss,45.3,52.0,45.3,52.0,64,sequence_length_variation
after_backward,33.78,82.0,69.84,82.0,64,sequence_length_variation
after_optimizer_step,35.36,84.0,69.84,84.0,64,sequence_length_variation
after_zero_grad,34.57,84.0,69.84,84.0,64,sequence_length_variation
before_model_load,17.93,22.0,17.93,22.0,128,sequence_length_variation
after_model_load,20.72,24.0,20.72,24.0,128,sequence_length_variation
after_batch_creation,20.72,24.0,20.72,24.0,128,sequence_length_variation
after_optimizer_creation,20.72,24.0,20.72,24.0,128,sequence_length_variation
after_forward,69.88,76.0,69.88,76.0,128,sequence_length_variation
after_loss,69.88,76.0,69.88,76.0,128,sequence_length_variation
after_backward,46.06,130.0,118.95,130.0,128,sequence_length_variation
after_optimizer_step,47.63,132.0,118.95,132.0,128,sequence_length_variation
after_zero_grad,46.84,132.0,118.95,132.0,128,sequence_length_variation
