stage,allocated_MB,reserved_MB,peak_allocated_MB,peak_reserved_MB,model_name,batch_size,input_tokens,experiment_type
before_model_load,0.0,0.0,0.0,0.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_model_load,313.23,350.0,313.23,350.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_batch_creation,313.24,350.0,313.24,350.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_optimizer_creation,313.24,350.0,313.24,350.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_forward,382.29,416.0,382.29,416.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_loss,382.29,416.0,382.29,416.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_backward,660.49,1030.0,956.49,1030.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_optimizer_step,1286.96,1738.0,1600.19,1738.0,distilgpt2,1,64,distilgpt2_batch_size_variation
after_zero_grad,972.1,1738.0,1600.19,1738.0,distilgpt2,1,64,distilgpt2_batch_size_variation
before_model_load,17.88,42.0,17.88,42.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_model_load,331.73,370.0,331.73,370.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_batch_creation,331.74,370.0,331.74,370.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_optimizer_creation,331.74,370.0,331.74,370.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_forward,454.84,462.0,454.84,462.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_loss,454.84,462.0,454.84,462.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_backward,676.51,1038.0,972.51,1038.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_optimizer_step,1302.98,1726.0,1616.21,1726.0,distilgpt2,2,64,distilgpt2_batch_size_variation
after_zero_grad,987.25,1726.0,1616.21,1726.0,distilgpt2,2,64,distilgpt2_batch_size_variation
before_model_load,17.88,42.0,17.88,42.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_model_load,331.73,370.0,331.73,370.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_batch_creation,331.74,370.0,331.74,370.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_optimizer_creation,331.74,370.0,331.74,370.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_forward,571.78,616.0,571.78,616.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_loss,571.78,616.0,571.78,616.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_backward,706.98,1160.0,1002.98,1160.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_optimizer_step,1335.19,1768.0,1648.43,1768.0,distilgpt2,4,64,distilgpt2_batch_size_variation
after_zero_grad,1018.96,1768.0,1648.43,1768.0,distilgpt2,4,64,distilgpt2_batch_size_variation
