model_name,batch_size,input_tokens,training_peak_allocated_MB,training_peak_reserved_MB,inference_peak_allocated_MB,inference_peak_reserved_MB,allocated_training_vs_inference_ratio,reserved_training_vs_inference_ratio
distilgpt2,1,64,1600.19,1738.0,335.36,364.0,4.771558921755725,4.774725274725275
distilgpt2,1,64,1600.19,1738.0,335.36,364.0,4.771558921755725,4.774725274725275
distilgpt2,1,64,1600.19,1738.0,335.36,364.0,4.771558921755725,4.774725274725275
distilgpt2,1,64,1600.19,1738.0,335.36,364.0,4.771558921755725,4.774725274725275
distilgpt2,1,64,1600.19,1738.0,335.36,364.0,4.771558921755725,4.774725274725275
distilgpt2,1,64,1600.19,1738.0,336.48,368.0,4.755676414645744,4.7228260869565215
distilgpt2,1,64,1600.19,1738.0,341.35,372.0,4.687827742785997,4.672043010752688
distilgpt2,1,64,1600.19,1738.0,336.48,368.0,4.755676414645744,4.7228260869565215
distilgpt2,1,64,1600.19,1738.0,336.48,368.0,4.755676414645744,4.7228260869565215
distilgpt2,1,64,1600.19,1738.0,336.48,368.0,4.755676414645744,4.7228260869565215
distilgpt2,1,64,1600.19,1738.0,341.5,384.0,4.685768667642753,4.526041666666667
distilgpt2,1,64,1600.19,1738.0,341.5,384.0,4.685768667642753,4.526041666666667
distilgpt2,1,64,1600.19,1738.0,341.5,384.0,4.685768667642753,4.526041666666667
distilgpt2,1,64,1600.19,1738.0,335.36,364.0,4.771558921755725,4.774725274725275
distilgpt2,2,64,1616.21,1726.0,343.24,372.0,4.708687798624869,4.639784946236559
distilgpt2,4,64,1648.43,1768.0,354.49,396.0,4.650145279133403,4.4646464646464645
