stage,allocated_MB,reserved_MB,peak_allocated_MB,peak_reserved_MB,model_name,optimizer_name,batch_size,input_tokens,experiment_type
before_model_load,0.0,0.0,0.0,0.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_model_load,313.23,350.0,313.23,350.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_batch_creation,313.24,350.0,313.24,350.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_optimizer_creation,313.24,350.0,313.24,350.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_forward,382.29,416.0,382.29,416.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_loss,382.29,416.0,382.29,416.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_backward,660.49,1030.0,956.49,1030.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_optimizer_step,660.49,1030.0,956.49,1030.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
after_zero_grad,345.63,1030.0,956.49,1030.0,distilgpt2,sgd,1,64,distilgpt2_optimizer_comparison
before_model_load,17.88,42.0,17.88,42.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_model_load,331.73,370.0,331.73,370.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_batch_creation,331.74,370.0,331.74,370.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_optimizer_creation,331.74,370.0,331.74,370.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_forward,391.04,436.0,391.04,436.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_loss,391.04,436.0,391.04,436.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_backward,660.49,1050.0,956.49,1050.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_optimizer_step,1287.71,1738.0,1600.94,1738.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
after_zero_grad,973.48,1738.0,1600.94,1738.0,distilgpt2,adamw,1,64,distilgpt2_optimizer_comparison
