model_name,batch_size,input_tokens,optimizer_name,dtype,stage,allocated_MB,reserved_MB,peak_allocated_MB,peak_reserved_MB
gpt2,1,32,sgd,fp32,before_model_load,0.0,0.0,0.0,0.0
gpt2,1,32,sgd,fp32,after_model_load,475.46,530.0,475.46,530.0
gpt2,1,32,sgd,fp32,after_batch_creation,475.46,530.0,475.46,530.0
gpt2,1,32,sgd,fp32,after_optimizer_creation,475.46,530.0,475.46,530.0
gpt2,1,32,sgd,fp32,after_forward,529.8,584.0,529.8,584.0
gpt2,1,32,sgd,fp32,after_loss,529.8,584.0,529.8,584.0
gpt2,1,32,sgd,fp32,after_backward,975.56,1388.0,1271.56,1388.0
gpt2,1,32,sgd,fp32,after_optimizer_step,975.56,1388.0,1271.56,1388.0
gpt2,1,32,sgd,fp32,after_zero_grad,499.48,1388.0,1271.56,1388.0
gpt2,1,64,sgd,fp32,before_model_load,17.88,42.0,17.88,42.0
gpt2,1,64,sgd,fp32,after_model_load,493.96,530.0,493.96,530.0
gpt2,1,64,sgd,fp32,after_batch_creation,493.96,530.0,493.96,530.0
gpt2,1,64,sgd,fp32,after_optimizer_creation,493.96,530.0,493.96,530.0
gpt2,1,64,sgd,fp32,after_forward,583.11,628.0,583.11,628.0
gpt2,1,64,sgd,fp32,after_loss,583.11,628.0,583.11,628.0
gpt2,1,64,sgd,fp32,after_backward,983.2,1422.0,1279.2,1422.0
gpt2,1,64,sgd,fp32,after_optimizer_step,983.2,1422.0,1279.2,1422.0
gpt2,1,64,sgd,fp32,after_zero_grad,506.23,1422.0,1279.2,1422.0
gpt2,1,128,sgd,fp32,before_model_load,17.88,42.0,17.88,42.0
gpt2,1,128,sgd,fp32,after_model_load,493.96,530.0,493.96,530.0
gpt2,1,128,sgd,fp32,after_batch_creation,493.97,530.0,493.97,530.0
gpt2,1,128,sgd,fp32,after_optimizer_creation,493.97,530.0,493.97,530.0
gpt2,1,128,sgd,fp32,after_forward,682.99,690.0,682.99,690.0
gpt2,1,128,sgd,fp32,after_loss,682.99,690.0,682.99,690.0
gpt2,1,128,sgd,fp32,after_backward,996.34,1406.0,1292.34,1406.0
gpt2,1,128,sgd,fp32,after_optimizer_step,996.34,1406.0,1292.34,1406.0
gpt2,1,128,sgd,fp32,after_zero_grad,518.51,1406.0,1292.34,1406.0
gpt2,1,32,adamw,fp32,before_model_load,17.88,42.0,17.88,42.0
gpt2,1,32,adamw,fp32,after_model_load,493.96,530.0,493.96,530.0
gpt2,1,32,adamw,fp32,after_batch_creation,493.96,530.0,493.96,530.0
gpt2,1,32,adamw,fp32,after_optimizer_creation,493.96,530.0,493.96,530.0
gpt2,1,32,adamw,fp32,after_forward,538.55,584.0,538.55,584.0
gpt2,1,32,adamw,fp32,after_loss,538.55,584.0,538.55,584.0
gpt2,1,32,adamw,fp32,after_backward,975.93,1388.0,1271.93,1388.0
gpt2,1,32,adamw,fp32,after_optimizer_step,1927.35,2616.0,2402.82,2616.0
gpt2,1,32,adamw,fp32,after_zero_grad,1451.53,2616.0,2402.82,2616.0
gpt2,1,64,adamw,fp32,before_model_load,17.88,42.0,17.88,42.0
gpt2,1,64,adamw,fp32,after_model_load,493.96,530.0,493.96,530.0
gpt2,1,64,adamw,fp32,after_batch_creation,493.96,530.0,493.96,530.0
gpt2,1,64,adamw,fp32,after_optimizer_creation,493.96,530.0,493.96,530.0
gpt2,1,64,adamw,fp32,after_forward,583.11,628.0,583.11,628.0
gpt2,1,64,adamw,fp32,after_loss,583.11,628.0,583.11,628.0
gpt2,1,64,adamw,fp32,after_backward,983.2,1422.0,1279.2,1422.0
gpt2,1,64,adamw,fp32,after_optimizer_step,1934.12,2670.0,2409.59,2670.0
gpt2,1,64,adamw,fp32,after_zero_grad,1457.16,2670.0,2409.59,2670.0
gpt2,1,128,adamw,fp32,before_model_load,17.88,42.0,17.88,42.0
gpt2,1,128,adamw,fp32,after_model_load,493.96,530.0,493.96,530.0
gpt2,1,128,adamw,fp32,after_batch_creation,493.97,530.0,493.97,530.0
gpt2,1,128,adamw,fp32,after_optimizer_creation,493.97,530.0,493.97,530.0
gpt2,1,128,adamw,fp32,after_forward,682.99,690.0,682.99,690.0
gpt2,1,128,adamw,fp32,after_loss,682.99,690.0,682.99,690.0
gpt2,1,128,adamw,fp32,after_backward,996.34,1406.0,1292.34,1406.0
gpt2,1,128,adamw,fp32,after_optimizer_step,1947.27,2634.0,2422.73,2634.0
gpt2,1,128,adamw,fp32,after_zero_grad,1469.43,2634.0,2422.73,2634.0
