model_name,num_parameters,dtype,num_devices,total_parameter_memory_MB,ideal_partitioned_parameter_memory_MB,replication_overhead_percent,communication_buffer_percent,replicated_overhead_memory_MB,communication_buffer_memory_MB,total_overhead_memory_MB,estimated_per_device_memory_MB,ideal_reduction_percent,effective_reduction_percent,overhead_fraction_of_total_percent,scope_note
distilgpt2,81912576,fp32,1,312.4716796875,312.4716796875,5.0,3.0,15.623583984375001,9.374150390625,24.997734375,337.4694140625,0.0,-7.999999999999997,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
distilgpt2,81912576,fp32,2,312.4716796875,156.23583984375,5.0,3.0,15.623583984375001,9.374150390625,24.997734375,181.23357421875,50.0,42.00000000000001,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
distilgpt2,81912576,fp32,4,312.4716796875,78.117919921875,5.0,3.0,15.623583984375001,9.374150390625,24.997734375,103.115654296875,75.0,67.0,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
distilgpt2,81912576,fp32,8,312.4716796875,39.0589599609375,5.0,3.0,15.623583984375001,9.374150390625,24.997734375,64.0566943359375,87.5,79.5,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
distilgpt2,81912576,fp16,1,156.23583984375,156.23583984375,5.0,3.0,7.8117919921875005,4.6870751953125,12.4988671875,168.73470703125,0.0,-7.999999999999997,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
distilgpt2,81912576,fp16,2,156.23583984375,78.117919921875,5.0,3.0,7.8117919921875005,4.6870751953125,12.4988671875,90.616787109375,50.0,42.00000000000001,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
distilgpt2,81912576,fp16,4,156.23583984375,39.0589599609375,5.0,3.0,7.8117919921875005,4.6870751953125,12.4988671875,51.5578271484375,75.0,67.0,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
distilgpt2,81912576,fp16,8,156.23583984375,19.52947998046875,5.0,3.0,7.8117919921875005,4.6870751953125,12.4988671875,32.02834716796875,87.5,79.5,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp32,1,474.7001953125,474.7001953125,5.0,3.0,23.735009765625,14.241005859374999,37.976015625,512.6762109375,0.0,-7.999999999999989,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp32,2,474.7001953125,237.35009765625,5.0,3.0,23.735009765625,14.241005859374999,37.976015625,275.32611328125,50.0,42.0,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp32,4,474.7001953125,118.675048828125,5.0,3.0,23.735009765625,14.241005859374999,37.976015625,156.651064453125,75.0,67.0,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp32,8,474.7001953125,59.3375244140625,5.0,3.0,23.735009765625,14.241005859374999,37.976015625,97.3135400390625,87.5,79.5,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp16,1,237.35009765625,237.35009765625,5.0,3.0,11.8675048828125,7.1205029296874995,18.9880078125,256.33810546875,0.0,-7.999999999999989,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp16,2,237.35009765625,118.675048828125,5.0,3.0,11.8675048828125,7.1205029296874995,18.9880078125,137.663056640625,50.0,42.0,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp16,4,237.35009765625,59.3375244140625,5.0,3.0,11.8675048828125,7.1205029296874995,18.9880078125,78.3255322265625,75.0,67.0,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
gpt2,124439808,fp16,8,237.35009765625,29.66876220703125,5.0,3.0,11.8675048828125,7.1205029296874995,18.9880078125,48.65677001953125,87.5,79.5,8.0,"Analytical model-parallel memory estimate, not real multi-GPU execution."
