model_name,dtype,num_devices,measured_fp32_total_memory_MB,non_parameter_memory_assumed_MB,total_parameter_memory_MB,ideal_partitioned_parameter_memory_MB,replicated_overhead_memory_MB,communication_buffer_memory_MB,model_parallel_per_device_parameter_memory_MB,estimated_total_per_device_memory_MB,ideal_parameter_reduction_percent,effective_parameter_reduction_percent,estimated_total_reduction_vs_fp32_percent,estimation_type,scope_note
distilgpt2,fp32,1,343.41,30.938320312500025,312.4716796875,312.4716796875,15.623583984375001,9.374150390625,337.4694140625,368.407734375,0.0,-7.999999999999997,-7.279268039661043,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
distilgpt2,fp32,2,343.41,30.938320312500025,312.4716796875,156.23583984375,15.623583984375001,9.374150390625,181.23357421875,212.17189453125002,50.0,42.00000000000001,38.216157208220494,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
distilgpt2,fp32,4,343.41,30.938320312500025,312.4716796875,78.117919921875,15.623583984375001,9.374150390625,103.115654296875,134.05397460937502,75.0,67.0,60.963869832161265,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
distilgpt2,fp32,8,343.41,30.938320312500025,312.4716796875,39.0589599609375,15.623583984375001,9.374150390625,64.0566943359375,94.99501464843752,87.5,79.5,72.33772614413164,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
distilgpt2,fp16,1,343.41,30.938320312500025,156.23583984375,156.23583984375,7.8117919921875005,4.6870751953125,168.73470703125,199.67302734375002,0.0,-7.999999999999997,41.85579122805102,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
distilgpt2,fp16,2,343.41,30.938320312500025,156.23583984375,78.117919921875,7.8117919921875005,4.6870751953125,90.616787109375,121.55510742187502,50.0,42.00000000000001,64.60350385199179,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
distilgpt2,fp16,4,343.41,30.938320312500025,156.23583984375,39.0589599609375,7.8117919921875005,4.6870751953125,51.5578271484375,82.49614746093752,75.0,67.0,75.97736016396219,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
distilgpt2,fp16,8,343.41,30.938320312500025,156.23583984375,19.52947998046875,7.8117919921875005,4.6870751953125,32.02834716796875,62.96666748046877,87.5,79.5,81.66428831994736,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp32,1,504.11,29.409804687500014,474.7001953125,474.7001953125,23.735009765625,14.241005859374999,512.6762109375,542.086015625,0.0,-7.999999999999989,-7.533279566959582,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp32,2,504.11,29.409804687500014,474.7001953125,237.35009765625,23.735009765625,14.241005859374999,275.32611328125,304.73591796875,50.0,42.0,39.54971772653786,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp32,4,504.11,29.409804687500014,474.7001953125,118.675048828125,23.735009765625,14.241005859374999,156.651064453125,186.06086914062502,75.0,67.0,63.091216373286585,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp32,8,504.11,29.409804687500014,474.7001953125,59.3375244140625,23.735009765625,14.241005859374999,97.3135400390625,126.72334472656252,87.5,79.5,74.86196569666095,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp16,1,504.11,29.409804687500014,237.35009765625,237.35009765625,11.8675048828125,7.1205029296874995,256.33810546875,285.74791015625,0.0,-7.999999999999989,43.31635751001766,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp16,2,504.11,29.409804687500014,237.35009765625,118.675048828125,11.8675048828125,7.1205029296874995,137.663056640625,167.07286132812501,50.0,42.0,66.85785615676639,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp16,4,504.11,29.409804687500014,237.35009765625,59.3375244140625,11.8675048828125,7.1205029296874995,78.3255322265625,107.73533691406251,75.0,67.0,78.62860548014075,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
gpt2,fp16,8,504.11,29.409804687500014,237.35009765625,29.66876220703125,11.8675048828125,7.1205029296874995,48.65677001953125,78.06657470703126,87.5,79.5,84.51398014182793,analytical_total_memory_approximation,Assumes non-parameter memory is replicated and unchanged; not real multi-GPU profiling.
