model_name,num_parameters,dtype,bits_per_parameter,bytes_per_parameter,is_quantized,group_size,metadata_case,num_groups,raw_parameter_memory_MB,metadata_memory_MB,effective_parameter_memory_MB,fp32_parameter_memory_MB,effective_reduction_percent,metadata_overhead_percent_of_raw_quantized,scope_note
distilgpt2,81912576,fp32,32,4.0,False,32,scale_plus_zero_point,0,312.4716796875,0.0,312.4716796875,312.4716796875,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,fp32,32,4.0,False,64,scale_plus_zero_point,0,312.4716796875,0.0,312.4716796875,312.4716796875,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,fp32,32,4.0,False,128,scale_plus_zero_point,0,312.4716796875,0.0,312.4716796875,312.4716796875,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,fp32,32,4.0,False,256,scale_plus_zero_point,0,312.4716796875,0.0,312.4716796875,312.4716796875,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,fp16,16,2.0,False,32,scale_plus_zero_point,0,156.23583984375,0.0,156.23583984375,312.4716796875,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,fp16,16,2.0,False,64,scale_plus_zero_point,0,156.23583984375,0.0,156.23583984375,312.4716796875,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,fp16,16,2.0,False,128,scale_plus_zero_point,0,156.23583984375,0.0,156.23583984375,312.4716796875,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,fp16,16,2.0,False,256,scale_plus_zero_point,0,156.23583984375,0.0,156.23583984375,312.4716796875,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int8,8,1.0,True,32,scale_plus_zero_point,2559768,78.117919921875,9.764739990234375,87.88265991210938,312.4716796875,71.875,12.5,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int8,8,1.0,True,64,scale_plus_zero_point,1279884,78.117919921875,4.8823699951171875,83.00028991699219,312.4716796875,73.4375,6.25,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int8,8,1.0,True,128,scale_plus_zero_point,639942,78.117919921875,2.4411849975585938,80.5591049194336,312.4716796875,74.21875,3.125,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int8,8,1.0,True,256,scale_plus_zero_point,319971,78.117919921875,1.2205924987792969,79.3385124206543,312.4716796875,74.609375,1.5625,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int4,4,0.5,True,32,scale_plus_zero_point,2559768,39.0589599609375,9.764739990234375,48.823699951171875,312.4716796875,84.375,25.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int4,4,0.5,True,64,scale_plus_zero_point,1279884,39.0589599609375,4.8823699951171875,43.94132995605469,312.4716796875,85.9375,12.5,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int4,4,0.5,True,128,scale_plus_zero_point,639942,39.0589599609375,2.4411849975585938,41.500144958496094,312.4716796875,86.71875,6.25,"Analytical parameter-memory estimate, not real quantized runtime execution."
distilgpt2,81912576,int4,4,0.5,True,256,scale_plus_zero_point,319971,39.0589599609375,1.2205924987792969,40.2795524597168,312.4716796875,87.109375,3.125,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp32,32,4.0,False,32,scale_plus_zero_point,0,474.7001953125,0.0,474.7001953125,474.7001953125,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp32,32,4.0,False,64,scale_plus_zero_point,0,474.7001953125,0.0,474.7001953125,474.7001953125,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp32,32,4.0,False,128,scale_plus_zero_point,0,474.7001953125,0.0,474.7001953125,474.7001953125,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp32,32,4.0,False,256,scale_plus_zero_point,0,474.7001953125,0.0,474.7001953125,474.7001953125,0.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp16,16,2.0,False,32,scale_plus_zero_point,0,237.35009765625,0.0,237.35009765625,474.7001953125,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp16,16,2.0,False,64,scale_plus_zero_point,0,237.35009765625,0.0,237.35009765625,474.7001953125,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp16,16,2.0,False,128,scale_plus_zero_point,0,237.35009765625,0.0,237.35009765625,474.7001953125,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,fp16,16,2.0,False,256,scale_plus_zero_point,0,237.35009765625,0.0,237.35009765625,474.7001953125,50.0,0.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int8,8,1.0,True,32,scale_plus_zero_point,3888744,118.675048828125,14.834381103515625,133.50942993164062,474.7001953125,71.875,12.5,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int8,8,1.0,True,64,scale_plus_zero_point,1944372,118.675048828125,7.4171905517578125,126.09223937988281,474.7001953125,73.4375,6.25,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int8,8,1.0,True,128,scale_plus_zero_point,972186,118.675048828125,3.7085952758789062,122.3836441040039,474.7001953125,74.21875,3.125,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int8,8,1.0,True,256,scale_plus_zero_point,486093,118.675048828125,1.8542976379394531,120.52934646606445,474.7001953125,74.609375,1.5625,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int4,4,0.5,True,32,scale_plus_zero_point,3888744,59.3375244140625,14.834381103515625,74.17190551757812,474.7001953125,84.375,25.0,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int4,4,0.5,True,64,scale_plus_zero_point,1944372,59.3375244140625,7.4171905517578125,66.75471496582031,474.7001953125,85.9375,12.5,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int4,4,0.5,True,128,scale_plus_zero_point,972186,59.3375244140625,3.7085952758789062,63.046119689941406,474.7001953125,86.71875,6.25,"Analytical parameter-memory estimate, not real quantized runtime execution."
gpt2,124439808,int4,4,0.5,True,256,scale_plus_zero_point,486093,59.3375244140625,1.8542976379394531,61.19182205200195,474.7001953125,87.109375,3.125,"Analytical parameter-memory estimate, not real quantized runtime execution."
