model_name,sparsity_percent,nonzero_fraction,nonzero_parameters,dense_fp32_parameter_memory_MB,sparse_value_memory_MB,sparse_index_memory_MB,sparse_total_parameter_memory_MB,non_parameter_memory_assumed_MB,estimated_total_memory_MB,measured_fp32_total_memory_MB,estimated_total_reduction_percent,estimation_type,scope_note
distilgpt2,0.0,1.0,81912576,312.4716796875,312.4716796875,312.4716796875,624.943359375,30.938320312500025,655.8816796875001,343.41,-90.99085049576308,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
distilgpt2,25.0,0.75,61434432,312.4716796875,234.353759765625,234.353759765625,468.70751953125,30.938320312500025,499.64583984375,343.41,-45.495425247881535,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
distilgpt2,50.0,0.5,40956288,312.4716796875,156.23583984375,156.23583984375,312.4716796875,30.938320312500025,343.41,343.41,0.0,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
distilgpt2,75.0,0.25,20478144,312.4716796875,78.117919921875,78.117919921875,156.23583984375,30.938320312500025,187.17416015625003,343.41,45.495425247881535,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
distilgpt2,90.0,0.09999999999999998,8191257,312.4716796875,31.24716796874999,31.24716796874999,62.49433593749998,30.938320312500025,93.43265625000001,343.41,72.79268039661046,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
gpt2,0.0,1.0,124439808,474.7001953125,474.7001953125,474.7001953125,949.400390625,29.409804687500014,978.8101953125,504.11,-94.1659945869949,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
gpt2,25.0,0.75,93329856,474.7001953125,356.025146484375,356.025146484375,712.05029296875,29.409804687500014,741.46009765625,504.11,-47.08299729349745,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
gpt2,50.0,0.5,62219904,474.7001953125,237.35009765625,237.35009765625,474.7001953125,29.409804687500014,504.11,504.11,0.0,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
gpt2,75.0,0.25,31109952,474.7001953125,118.675048828125,118.675048828125,237.35009765625,29.409804687500014,266.75990234375,504.11,47.08299729349745,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
gpt2,90.0,0.09999999999999998,12443980,474.7001953125,47.47001953124999,47.47001953124999,94.94003906249998,29.409804687500014,124.34984374999999,504.11,75.33279566959592,analytical_total_approximation,Total-memory approximation assumes non-parameter memory remains unchanged from fp32.
