memory_limit_MB,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
512,8,8,0,0,100.0,0.0,0.0
768,8,8,0,0,100.0,0.0,0.0
1024,8,7,1,0,87.5,12.5,0.0
1200,8,8,0,0,100.0,0.0,0.0
1400,8,8,0,0,100.0,0.0,0.0
1500,8,8,0,0,100.0,0.0,0.0
1600,8,8,0,0,100.0,0.0,0.0
1700,8,5,3,0,62.5,37.5,0.0
1725,8,5,3,0,62.5,37.5,0.0
1750,8,6,0,2,75.0,0.0,25.0
1800,8,7,0,1,87.5,0.0,12.5
2048,8,8,0,0,100.0,0.0,0.0
4096,8,8,0,0,100.0,0.0,0.0
8192,8,8,0,0,100.0,0.0,0.0
