batch_size,sequence_length,estimated_total_activation_memory_MB,scope_note
1,32,0.37890625,Analytical Transformer activation-memory estimate.
1,64,0.765625,Analytical Transformer activation-memory estimate.
1,128,1.5625,Analytical Transformer activation-memory estimate.
1,256,3.25,Analytical Transformer activation-memory estimate.
1,512,7.0,Analytical Transformer activation-memory estimate.
2,32,0.7578125,Analytical Transformer activation-memory estimate.
2,64,1.53125,Analytical Transformer activation-memory estimate.
2,128,3.125,Analytical Transformer activation-memory estimate.
2,256,6.5,Analytical Transformer activation-memory estimate.
2,512,14.0,Analytical Transformer activation-memory estimate.
4,32,1.515625,Analytical Transformer activation-memory estimate.
4,64,3.0625,Analytical Transformer activation-memory estimate.
4,128,6.25,Analytical Transformer activation-memory estimate.
4,256,13.0,Analytical Transformer activation-memory estimate.
4,512,28.0,Analytical Transformer activation-memory estimate.
8,32,3.03125,Analytical Transformer activation-memory estimate.
8,64,6.125,Analytical Transformer activation-memory estimate.
8,128,12.5,Analytical Transformer activation-memory estimate.
8,256,26.0,Analytical Transformer activation-memory estimate.
8,512,56.0,Analytical Transformer activation-memory estimate.
