batch_size,image_size,layer_name,activation_shape,activation_memory_MB
1,64,input,1 x 3 x 64 x 64,0.046875
1,64,conv1_output,1 x 32 x 64 x 64,0.5
1,64,pool1_output,1 x 32 x 32 x 32,0.125
1,64,conv2_output,1 x 64 x 32 x 32,0.25
1,64,pool2_output,1 x 64 x 16 x 16,0.0625
1,64,conv3_output,1 x 128 x 16 x 16,0.125
1,64,avgpool_output,1 x 128 x 1 x 1,0.00048828125
1,128,input,1 x 3 x 128 x 128,0.1875
1,128,conv1_output,1 x 32 x 128 x 128,2.0
1,128,pool1_output,1 x 32 x 64 x 64,0.5
1,128,conv2_output,1 x 64 x 64 x 64,1.0
1,128,pool2_output,1 x 64 x 32 x 32,0.25
1,128,conv3_output,1 x 128 x 32 x 32,0.5
1,128,avgpool_output,1 x 128 x 1 x 1,0.00048828125
1,224,input,1 x 3 x 224 x 224,0.57421875
1,224,conv1_output,1 x 32 x 224 x 224,6.125
1,224,pool1_output,1 x 32 x 112 x 112,1.53125
1,224,conv2_output,1 x 64 x 112 x 112,3.0625
1,224,pool2_output,1 x 64 x 56 x 56,0.765625
1,224,conv3_output,1 x 128 x 56 x 56,1.53125
1,224,avgpool_output,1 x 128 x 1 x 1,0.00048828125
1,384,input,1 x 3 x 384 x 384,1.6875
1,384,conv1_output,1 x 32 x 384 x 384,18.0
1,384,pool1_output,1 x 32 x 192 x 192,4.5
1,384,conv2_output,1 x 64 x 192 x 192,9.0
1,384,pool2_output,1 x 64 x 96 x 96,2.25
1,384,conv3_output,1 x 128 x 96 x 96,4.5
1,384,avgpool_output,1 x 128 x 1 x 1,0.00048828125
2,64,input,2 x 3 x 64 x 64,0.09375
2,64,conv1_output,2 x 32 x 64 x 64,1.0
2,64,pool1_output,2 x 32 x 32 x 32,0.25
2,64,conv2_output,2 x 64 x 32 x 32,0.5
2,64,pool2_output,2 x 64 x 16 x 16,0.125
2,64,conv3_output,2 x 128 x 16 x 16,0.25
2,64,avgpool_output,2 x 128 x 1 x 1,0.0009765625
2,128,input,2 x 3 x 128 x 128,0.375
2,128,conv1_output,2 x 32 x 128 x 128,4.0
2,128,pool1_output,2 x 32 x 64 x 64,1.0
2,128,conv2_output,2 x 64 x 64 x 64,2.0
2,128,pool2_output,2 x 64 x 32 x 32,0.5
2,128,conv3_output,2 x 128 x 32 x 32,1.0
2,128,avgpool_output,2 x 128 x 1 x 1,0.0009765625
2,224,input,2 x 3 x 224 x 224,1.1484375
2,224,conv1_output,2 x 32 x 224 x 224,12.25
2,224,pool1_output,2 x 32 x 112 x 112,3.0625
2,224,conv2_output,2 x 64 x 112 x 112,6.125
2,224,pool2_output,2 x 64 x 56 x 56,1.53125
2,224,conv3_output,2 x 128 x 56 x 56,3.0625
2,224,avgpool_output,2 x 128 x 1 x 1,0.0009765625
2,384,input,2 x 3 x 384 x 384,3.375
2,384,conv1_output,2 x 32 x 384 x 384,36.0
2,384,pool1_output,2 x 32 x 192 x 192,9.0
2,384,conv2_output,2 x 64 x 192 x 192,18.0
2,384,pool2_output,2 x 64 x 96 x 96,4.5
2,384,conv3_output,2 x 128 x 96 x 96,9.0
2,384,avgpool_output,2 x 128 x 1 x 1,0.0009765625
4,64,input,4 x 3 x 64 x 64,0.1875
