model_name,batch_size,input_tokens,max_new_tokens,total_tokens,dtype,use_cache,num_layers,hidden_size,bytes_per_element,estimated_kv_cache_MB,actual_peak_allocated_MB,actual_peak_reserved_MB
sshleifer/tiny-gpt2,1,32,32,64,fp32,True,2.0,2.0,4,0.001953125,12.5,26.0
sshleifer/tiny-gpt2,1,64,32,96,fp32,True,2.0,2.0,4,0.0029296875,12.5,26.0
sshleifer/tiny-gpt2,1,16,32,48,fp32,True,2.0,2.0,4,0.00146484375,12.5,26.0
sshleifer/tiny-gpt2,1,32,32,64,fp32,True,2.0,2.0,4,0.001953125,12.5,26.0
sshleifer/tiny-gpt2,1,64,32,96,fp32,True,2.0,2.0,4,0.0029296875,12.5,26.0
sshleifer/tiny-gpt2,1,128,32,160,fp32,True,2.0,2.0,4,0.0048828125,12.51,26.0
sshleifer/tiny-gpt2,1,256,32,288,fp32,True,2.0,2.0,4,0.0087890625,12.51,26.0
sshleifer/tiny-gpt2,1,512,32,544,fp32,True,2.0,2.0,4,0.0166015625,12.53,26.0
sshleifer/tiny-gpt2,1,64,8,72,fp32,True,2.0,2.0,4,0.002197265625,12.5,26.0
sshleifer/tiny-gpt2,1,64,16,80,fp32,True,2.0,2.0,4,0.00244140625,12.5,26.0
sshleifer/tiny-gpt2,1,64,32,96,fp32,True,2.0,2.0,4,0.0029296875,12.5,26.0
sshleifer/tiny-gpt2,1,64,64,128,fp32,True,2.0,2.0,4,0.00390625,12.5,26.0
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,2.0,2.0,4,0.005859375,12.5,26.0
sshleifer/tiny-gpt2,1,64,256,320,fp32,True,2.0,2.0,4,0.009765625,12.51,26.0
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,2.0,2.0,4,0.005859375,12.5,26.0
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,2.0,2.0,4,0.005859375,12.5,26.0
sshleifer/tiny-gpt2,1,64,128,192,fp32,True,2.0,2.0,4,0.005859375,12.5,26.0
sshleifer/tiny-gpt2,1,64,128,192,fp32,False,,,4,0.0,12.5,26.0
sshleifer/tiny-gpt2,1,64,128,192,fp32,False,,,4,0.0,12.5,26.0
sshleifer/tiny-gpt2,1,64,128,192,fp32,False,,,4,0.0,12.5,26.0
distilgpt2,1,16,32,48,fp32,True,6.0,768.0,4,1.6875,331.22,358.0
distilgpt2,1,32,32,64,fp32,True,6.0,768.0,4,2.25,332.18,360.0
distilgpt2,1,64,32,96,fp32,True,6.0,768.0,4,3.375,335.36,364.0
distilgpt2,1,128,32,160,fp32,True,6.0,768.0,4,5.625,343.24,366.0
distilgpt2,1,256,32,288,fp32,True,6.0,768.0,4,10.125,354.5,396.0
distilgpt2,1,512,32,544,fp32,True,6.0,768.0,4,19.125,384.01,396.0
distilgpt2,1,64,8,72,fp32,True,6.0,768.0,4,2.53125,335.36,364.0
distilgpt2,1,64,16,80,fp32,True,6.0,768.0,4,2.8125,335.36,364.0
distilgpt2,1,64,32,96,fp32,True,6.0,768.0,4,3.375,335.36,364.0
distilgpt2,1,64,64,128,fp32,True,6.0,768.0,4,4.5,335.36,364.0
distilgpt2,1,64,128,192,fp32,True,6.0,768.0,4,6.75,336.48,368.0
distilgpt2,1,64,256,320,fp32,True,6.0,768.0,4,11.25,341.35,372.0
distilgpt2,1,64,128,192,fp32,True,6.0,768.0,4,6.75,336.48,368.0
distilgpt2,1,64,128,192,fp32,True,6.0,768.0,4,6.75,336.48,368.0
distilgpt2,1,64,128,192,fp32,True,6.0,768.0,4,6.75,336.48,368.0
distilgpt2,1,64,128,192,fp32,False,,,4,0.0,341.5,384.0
distilgpt2,1,64,128,192,fp32,False,,,4,0.0,341.5,384.0
distilgpt2,1,64,128,192,fp32,False,,,4,0.0,341.5,384.0
distilgpt2,1,64,64,128,fp32,True,6.0,768.0,4,4.5,335.36,364.0
distilgpt2,2,64,64,128,fp32,True,6.0,768.0,4,9.0,343.24,372.0
distilgpt2,4,64,64,128,fp32,True,6.0,768.0,4,18.0,354.49,396.0
distilgpt2,8,64,64,128,fp32,True,6.0,768.0,4,36.0,384.0,416.0
distilgpt2,1,128,128,256,fp32,True,6.0,768.0,4,9.0,343.74,372.0
distilgpt2,1,128,128,256,fp32,True,6.0,768.0,4,9.0,343.24,374.0
distilgpt2,1,128,128,256,fp32,True,6.0,768.0,4,9.0,343.24,374.0
distilgpt2,1,128,128,256,fp16,True,6.0,768.0,2,4.5,181.25,190.0
distilgpt2,1,128,128,256,fp16,True,6.0,768.0,2,4.5,181.25,190.0
distilgpt2,1,128,128,256,fp16,True,6.0,768.0,2,4.5,181.25,190.0
