model_name,batch_size,input_tokens,max_new_tokens,dtype,use_cache,actual_peak_allocated_MB,fp32_reference_predicted_MB,precision_adjusted_predicted_MB,dtype_scale,precision_correction,absolute_error_MB,relative_error_percent
sshleifer/tiny-gpt2,1,32,32,fp32,True,12.5,3.8517369165039055,3.8517369165039055,1.0,1.0,8.648263083496094,69.18610466796875
sshleifer/tiny-gpt2,1,64,32,fp32,True,12.5,3.852226193847657,3.852226193847657,1.0,1.0,8.647773806152344,69.18219044921875
sshleifer/tiny-gpt2,1,16,32,fp32,True,12.5,3.851492277832031,3.851492277832031,1.0,1.0,8.648507722167968,69.18806177734375
sshleifer/tiny-gpt2,1,32,32,fp32,True,12.5,3.8517369165039055,3.8517369165039055,1.0,1.0,8.648263083496094,69.18610466796875
sshleifer/tiny-gpt2,1,64,32,fp32,True,12.5,3.852226193847657,3.852226193847657,1.0,1.0,8.647773806152344,69.18219044921875
sshleifer/tiny-gpt2,1,128,32,fp32,True,12.51,3.853204748535157,3.853204748535157,1.0,1.0,8.656795251464843,69.19900280947117
sshleifer/tiny-gpt2,1,256,32,fp32,True,12.51,3.855161857910157,3.855161857910157,1.0,1.0,8.654838142089844,69.18335844995879
sshleifer/tiny-gpt2,1,512,32,fp32,True,12.53,3.859076076660156,3.859076076660156,1.0,1.0,8.670923923339844,69.20130824692613
sshleifer/tiny-gpt2,1,64,8,fp32,True,12.5,3.851859235839844,3.851859235839844,1.0,1.0,8.648140764160157,69.18512611328126
sshleifer/tiny-gpt2,1,64,16,fp32,True,12.5,3.851981555175781,3.851981555175781,1.0,1.0,8.648018444824219,69.18414755859375
sshleifer/tiny-gpt2,1,64,32,fp32,True,12.5,3.852226193847657,3.852226193847657,1.0,1.0,8.647773806152344,69.18219044921875
sshleifer/tiny-gpt2,1,64,64,fp32,True,12.5,3.8527154711914062,3.8527154711914062,1.0,1.0,8.647284528808594,69.17827623046875
sshleifer/tiny-gpt2,1,64,128,fp32,True,12.5,3.853694025878906,3.853694025878906,1.0,1.0,8.646305974121095,69.17044779296876
sshleifer/tiny-gpt2,1,64,256,fp32,True,12.51,3.8556511352539062,3.8556511352539062,1.0,1.0,8.654348864746094,69.17944736008069
sshleifer/tiny-gpt2,1,64,128,fp32,True,12.5,3.853694025878906,3.853694025878906,1.0,1.0,8.646305974121095,69.17044779296876
sshleifer/tiny-gpt2,1,64,128,fp32,True,12.5,3.853694025878906,3.853694025878906,1.0,1.0,8.646305974121095,69.17044779296876
sshleifer/tiny-gpt2,1,64,128,fp32,True,12.5,3.853694025878906,3.853694025878906,1.0,1.0,8.646305974121095,69.17044779296876
sshleifer/tiny-gpt2,1,64,128,fp32,False,12.5,3.775259155273437,3.775259155273437,1.0,1.0,8.724740844726563,69.7979267578125
sshleifer/tiny-gpt2,1,64,128,fp32,False,12.5,3.775259155273437,3.775259155273437,1.0,1.0,8.724740844726563,69.7979267578125
sshleifer/tiny-gpt2,1,64,128,fp32,False,12.5,3.775259155273437,3.775259155273437,1.0,1.0,8.724740844726563,69.7979267578125
distilgpt2,1,16,32,fp32,True,331.22,340.729851328125,340.729851328125,1.0,1.0,9.509851328124967,2.8711585436039386
distilgpt2,1,32,32,fp32,True,332.18,341.011675078125,341.011675078125,1.0,1.0,8.831675078124988,2.658701631081037
distilgpt2,1,64,32,fp32,True,335.36,341.575322578125,341.575322578125,1.0,1.0,6.215322578124983,1.8533285359389857
distilgpt2,1,128,32,fp32,True,343.24,342.702617578125,342.702617578125,1.0,1.0,0.5373824218750087,0.156561712467955
distilgpt2,1,256,32,fp32,True,354.5,344.957207578125,344.957207578125,1.0,1.0,9.542792421874992,2.6919019525740455
distilgpt2,1,512,32,fp32,True,384.01,349.46638757812497,349.46638757812497,1.0,1.0,34.543612421875025,8.995498143765793
distilgpt2,1,64,8,fp32,True,335.36,341.152586953125,341.152586953125,1.0,1.0,5.79258695312501,1.7272742584461505
distilgpt2,1,64,16,fp32,True,335.36,341.293498828125,341.293498828125,1.0,1.0,5.933498828124982,1.7692923509437564
distilgpt2,1,64,32,fp32,True,335.36,341.575322578125,341.575322578125,1.0,1.0,6.215322578124983,1.8533285359389857
distilgpt2,1,64,64,fp32,True,335.36,342.138970078125,342.138970078125,1.0,1.0,6.778970078124985,2.021400905929444
distilgpt2,1,64,128,fp32,True,336.48,343.266265078125,343.266265078125,1.0,1.0,6.786265078124984,2.0168405486581618
distilgpt2,1,64,256,fp32,True,341.35,345.520855078125,345.520855078125,1.0,1.0,4.170855078124987,1.2218705370221141
distilgpt2,1,64,128,fp32,True,336.48,343.266265078125,343.266265078125,1.0,1.0,6.786265078124984,2.0168405486581618
distilgpt2,1,64,128,fp32,True,336.48,343.266265078125,343.266265078125,1.0,1.0,6.786265078124984,2.0168405486581618
distilgpt2,1,64,128,fp32,True,336.48,343.266265078125,343.266265078125,1.0,1.0,6.786265078124984,2.0168405486581618
distilgpt2,1,64,128,fp32,False,341.5,333.22673046875,333.22673046875,1.0,1.0,8.27326953124998,2.422626509882864
distilgpt2,1,64,128,fp32,False,341.5,333.22673046875,333.22673046875,1.0,1.0,8.27326953124998,2.422626509882864
distilgpt2,1,64,128,fp32,False,341.5,333.22673046875,333.22673046875,1.0,1.0,8.27326953124998,2.422626509882864
distilgpt2,1,64,64,fp32,True,335.36,342.138970078125,342.138970078125,1.0,1.0,6.778970078124985,2.021400905929444
distilgpt2,2,64,64,fp32,True,343.24,346.433560078125,346.433560078125,1.0,1.0,3.1935600781250173,0.9304160581881533
distilgpt2,4,64,64,fp32,True,354.49,355.02274007812497,355.02274007812497,1.0,1.0,0.5327400781249594,0.15028352792038122
distilgpt2,8,64,64,fp32,True,384.0,372.201100078125,372.201100078125,1.0,1.0,11.798899921874977,3.072630187988275
distilgpt2,1,128,128,fp32,True,343.74,344.393560078125,344.393560078125,1.0,1.0,0.6535600781249968,0.1901320992974332
distilgpt2,1,128,128,fp32,True,343.24,344.393560078125,344.393560078125,1.0,1.0,1.1535600781249968,0.3360797337504361
distilgpt2,1,128,128,fp32,True,343.24,344.393560078125,344.393560078125,1.0,1.0,1.1535600781249968,0.3360797337504361
