memory_limit_MB,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
16,48,28,20,0,58.333333333333336,41.66666666666667,0.0
24,48,28,20,0,58.333333333333336,41.66666666666667,0.0
26,48,48,0,0,100.0,0.0,0.0
32,48,48,0,0,100.0,0.0,0.0
64,48,48,0,0,100.0,0.0,0.0
128,48,48,0,0,100.0,0.0,0.0
190,48,48,0,0,100.0,0.0,0.0
256,48,48,0,0,100.0,0.0,0.0
360,48,46,0,2,95.83333333333334,0.0,4.166666666666666
400,48,48,0,0,100.0,0.0,0.0
512,48,48,0,0,100.0,0.0,0.0
1024,48,48,0,0,100.0,0.0,0.0
2048,48,48,0,0,100.0,0.0,0.0
4096,48,48,0,0,100.0,0.0,0.0
8192,48,48,0,0,100.0,0.0,0.0
