stage,allocated_MB,reserved_MB,peak_allocated_MB,peak_reserved_MB,optimizer_name,experiment_type
before_model_load,17.93,22.0,17.93,22.0,sgd,optimizer_comparison
after_model_load,20.72,24.0,20.72,24.0,sgd,optimizer_comparison
after_batch_creation,20.72,24.0,20.72,24.0,sgd,optimizer_comparison
after_optimizer_creation,20.72,24.0,20.72,24.0,sgd,optimizer_comparison
after_forward,45.3,52.0,45.3,52.0,sgd,optimizer_comparison
after_loss,45.3,52.0,45.3,52.0,sgd,optimizer_comparison
after_backward,33.78,82.0,69.84,82.0,sgd,optimizer_comparison
after_optimizer_step,33.78,82.0,69.84,82.0,sgd,optimizer_comparison
after_zero_grad,32.99,82.0,69.84,82.0,sgd,optimizer_comparison
before_model_load,17.93,22.0,17.93,22.0,adamw,optimizer_comparison
after_model_load,20.72,24.0,20.72,24.0,adamw,optimizer_comparison
after_batch_creation,20.72,24.0,20.72,24.0,adamw,optimizer_comparison
after_optimizer_creation,20.72,24.0,20.72,24.0,adamw,optimizer_comparison
after_forward,45.3,52.0,45.3,52.0,adamw,optimizer_comparison
after_loss,45.3,52.0,45.3,52.0,adamw,optimizer_comparison
after_backward,33.78,82.0,69.84,82.0,adamw,optimizer_comparison
after_optimizer_step,35.36,84.0,69.84,84.0,adamw,optimizer_comparison
after_zero_grad,34.57,84.0,69.84,84.0,adamw,optimizer_comparison
