stage,allocated_MB,reserved_MB,peak_allocated_MB,peak_reserved_MB,model_name,input_tokens,experiment_type
before_model_load,0.0,0.0,0.0,0.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_model_load,313.23,350.0,313.23,350.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_batch_creation,313.24,350.0,313.24,350.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_optimizer_creation,313.24,350.0,313.24,350.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_forward,352.65,388.0,352.65,388.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_loss,352.65,388.0,352.65,388.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_backward,652.23,1012.0,948.23,1012.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_optimizer_step,1279.2,1700.0,1592.43,1700.0,distilgpt2,32,distilgpt2_sequence_length_variation
after_zero_grad,965.34,1700.0,1592.43,1700.0,distilgpt2,32,distilgpt2_sequence_length_variation
before_model_load,17.88,42.0,17.88,42.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_model_load,331.73,350.0,331.73,350.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_batch_creation,331.74,350.0,331.74,350.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_optimizer_creation,331.74,350.0,331.74,350.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_forward,391.04,416.0,391.04,416.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_loss,391.04,416.0,391.04,416.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_backward,660.99,1030.0,956.99,1030.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_optimizer_step,1287.46,1738.0,1600.69,1738.0,distilgpt2,64,distilgpt2_sequence_length_variation
after_zero_grad,972.73,1738.0,1600.69,1738.0,distilgpt2,64,distilgpt2_sequence_length_variation
before_model_load,17.88,42.0,17.88,42.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_model_load,331.73,350.0,331.73,350.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_batch_creation,331.74,350.0,331.74,350.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_optimizer_creation,331.74,350.0,331.74,350.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_forward,456.09,462.0,456.09,462.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_loss,456.09,462.0,456.09,462.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_backward,676.64,1038.0,972.64,1038.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_optimizer_step,1303.48,1726.0,1616.71,1726.0,distilgpt2,128,distilgpt2_sequence_length_variation
after_zero_grad,987.62,1726.0,1616.71,1726.0,distilgpt2,128,distilgpt2_sequence_length_variation
