model_name,dtype,num_devices,total_parameter_memory_MB,ideal_partitioned_parameter_memory_MB,replicated_overhead_memory_MB,communication_buffer_memory_MB,total_overhead_memory_MB,estimated_per_device_memory_MB,ideal_reduction_percent,effective_reduction_percent,overhead_fraction_of_total_percent,scope_note
distilgpt2,fp32,1,312.47168,312.47168,15.623584000000001,9.3741504,24.9977344,337.4694144,0.0,-8.000000000000004,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
distilgpt2,fp32,2,312.47168,156.23584,15.623584000000001,9.3741504,24.9977344,181.23357439999998,50.0,42.00000000000001,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
distilgpt2,fp32,4,312.47168,78.11792,15.623584000000001,9.3741504,24.9977344,103.1156544,75.0,67.0,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
distilgpt2,fp32,8,312.47168,39.05896,15.623584000000001,9.3741504,24.9977344,64.0566944,87.5,79.5,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
distilgpt2,fp16,1,156.23584,156.23584,7.8117920000000005,4.6870752,12.4988672,168.7347072,0.0,-8.000000000000004,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
distilgpt2,fp16,2,156.23584,78.11792,7.8117920000000005,4.6870752,12.4988672,90.61678719999999,50.0,42.00000000000001,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
distilgpt2,fp16,4,156.23584,39.05896,7.8117920000000005,4.6870752,12.4988672,51.5578272,75.0,67.0,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
distilgpt2,fp16,8,156.23584,19.52948,7.8117920000000005,4.6870752,12.4988672,32.0283472,87.5,79.5,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp32,1,474.700195,474.700195,23.735009750000003,14.24100585,37.976015600000004,512.6762106,0.0,-7.9999999999999964,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp32,2,474.700195,237.3500975,23.735009750000003,14.24100585,37.976015600000004,275.32611310000004,50.0,41.99999999999999,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp32,4,474.700195,118.67504875,23.735009750000003,14.24100585,37.976015600000004,156.65106434999998,75.00000000000001,67.00000000000001,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp32,8,474.700195,59.337524375,23.735009750000003,14.24100585,37.976015600000004,97.313539975,87.5,79.5,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp16,1,237.350098,237.350098,11.8675049,7.12050294,18.98800784,256.33810584,0.0,-8.00000000000001,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp16,2,237.350098,118.675049,11.8675049,7.12050294,18.98800784,137.66305684,50.0,42.00000000000001,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp16,4,237.350098,59.3375245,11.8675049,7.12050294,18.98800784,78.32553234,75.0,67.0,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
gpt2,fp16,8,237.350098,29.66876225,11.8675049,7.12050294,18.98800784,48.65677009,87.50000000000001,79.5,8.0,"Analytical model-parallel memory estimate, not real distributed execution."
