model_name,dtype,group_size,raw_parameter_memory_MB,metadata_memory_MB,effective_parameter_memory_MB,effective_reduction_percent,metadata_overhead_percent_of_raw_quantized
distilgpt2,int8,32,78.117919921875,9.764739990234375,87.88265991210938,71.87500002812754,12.5
distilgpt2,int8,64,78.117919921875,4.8823699951171875,83.00028991699219,73.4375000265649,6.25
distilgpt2,int8,128,78.117919921875,2.4411849975585938,80.5591049194336,74.21875002578359,3.125
distilgpt2,int8,256,78.117919921875,1.2205924987792969,79.3385124206543,74.60937502539292,1.5625
distilgpt2,int4,32,39.0589599609375,9.764739990234375,48.823699951171875,84.37500001562641,25.0
distilgpt2,int4,64,39.0589599609375,4.8823699951171875,43.94132995605469,85.93750001406377,12.5
distilgpt2,int4,128,39.0589599609375,2.4411849975585938,41.500144958496094,86.71875001328246,6.25
distilgpt2,int4,256,39.0589599609375,1.2205924987792969,40.2795524597168,87.10937501289179,3.125
gpt2,int8,32,118.675048828125,14.834381103515625,133.50942993164062,71.87499998148502,12.5
gpt2,int8,64,118.675048828125,7.4171905517578125,126.09223937988281,73.43749998251363,6.25
gpt2,int8,128,118.675048828125,3.7085952758789062,122.3836441040039,74.21874998302795,3.125
gpt2,int8,256,118.675048828125,1.8542976379394531,120.52934646606445,74.6093749832851,1.5625
gpt2,int4,32,59.3375244140625,14.834381103515625,74.17190551757812,84.3749999897139,25.0
gpt2,int4,64,59.3375244140625,7.4171905517578125,66.75471496582031,85.93749999074251,12.5
gpt2,int4,128,59.3375244140625,3.7085952758789062,63.046119689941406,86.71874999125681,6.25
gpt2,int4,256,59.3375244140625,1.8542976379394531,61.19182205200195,87.10937499151396,3.125
