model_name,num_parameters,dtype,group_size,metadata_case,bytes_per_parameter,raw_parameter_memory_MB,metadata_memory_MB,effective_parameter_memory_MB,fp32_parameter_memory_MB,effective_reduction_MB,effective_reduction_percent,metadata_overhead_percent_of_raw_quantized,num_groups
distilgpt2,81912576,fp32,32,scale_plus_zero_point,4.0,312.4716796875,0.0,312.4716796875,312.47168,3.12499992105586e-07,1.0000906069490392e-07,0.0,0
distilgpt2,81912576,fp32,64,scale_plus_zero_point,4.0,312.4716796875,0.0,312.4716796875,312.47168,3.12499992105586e-07,1.0000906069490392e-07,0.0,0
distilgpt2,81912576,fp32,128,scale_plus_zero_point,4.0,312.4716796875,0.0,312.4716796875,312.47168,3.12499992105586e-07,1.0000906069490392e-07,0.0,0
distilgpt2,81912576,fp32,256,scale_plus_zero_point,4.0,312.4716796875,0.0,312.4716796875,312.47168,3.12499992105586e-07,1.0000906069490392e-07,0.0,0
distilgpt2,81912576,fp16,32,scale_plus_zero_point,2.0,156.23583984375,0.0,156.23583984375,312.47168,156.23584015625,50.00000005000453,0.0,0
distilgpt2,81912576,fp16,64,scale_plus_zero_point,2.0,156.23583984375,0.0,156.23583984375,312.47168,156.23584015625,50.00000005000453,0.0,0
distilgpt2,81912576,fp16,128,scale_plus_zero_point,2.0,156.23583984375,0.0,156.23583984375,312.47168,156.23584015625,50.00000005000453,0.0,0
distilgpt2,81912576,fp16,256,scale_plus_zero_point,2.0,156.23583984375,0.0,156.23583984375,312.47168,156.23584015625,50.00000005000453,0.0,0
distilgpt2,81912576,int8,32,scale_plus_zero_point,1.0,78.117919921875,9.764739990234375,87.88265991210938,312.47168,224.58902008789062,71.87500002812754,12.5,2559768
distilgpt2,81912576,int8,64,scale_plus_zero_point,1.0,78.117919921875,4.8823699951171875,83.00028991699219,312.47168,229.4713900830078,73.4375000265649,6.25,1279884
distilgpt2,81912576,int8,128,scale_plus_zero_point,1.0,78.117919921875,2.4411849975585938,80.5591049194336,312.47168,231.9125750805664,74.21875002578359,3.125,639942
distilgpt2,81912576,int8,256,scale_plus_zero_point,1.0,78.117919921875,1.2205924987792969,79.3385124206543,312.47168,233.1331675793457,74.60937502539292,1.5625,319971
distilgpt2,81912576,int4,32,scale_plus_zero_point,0.5,39.0589599609375,9.764739990234375,48.823699951171875,312.47168,263.6479800488281,84.37500001562641,25.0,2559768
distilgpt2,81912576,int4,64,scale_plus_zero_point,0.5,39.0589599609375,4.8823699951171875,43.94132995605469,312.47168,268.5303500439453,85.93750001406377,12.5,1279884
distilgpt2,81912576,int4,128,scale_plus_zero_point,0.5,39.0589599609375,2.4411849975585938,41.500144958496094,312.47168,270.9715350415039,86.71875001328246,6.25,639942
distilgpt2,81912576,int4,256,scale_plus_zero_point,0.5,39.0589599609375,1.2205924987792969,40.2795524597168,312.47168,272.1921275402832,87.10937501289179,3.125,319971
gpt2,124439808,fp32,32,scale_plus_zero_point,4.0,474.7001953125,0.0,474.7001953125,474.700195,-3.12499992105586e-07,-6.583102248474661e-08,0.0,0
gpt2,124439808,fp32,64,scale_plus_zero_point,4.0,474.7001953125,0.0,474.7001953125,474.700195,-3.12499992105586e-07,-6.583102248474661e-08,0.0,0
gpt2,124439808,fp32,128,scale_plus_zero_point,4.0,474.7001953125,0.0,474.7001953125,474.700195,-3.12499992105586e-07,-6.583102248474661e-08,0.0,0
gpt2,124439808,fp32,256,scale_plus_zero_point,4.0,474.7001953125,0.0,474.7001953125,474.700195,-3.12499992105586e-07,-6.583102248474661e-08,0.0,0
gpt2,124439808,fp16,32,scale_plus_zero_point,2.0,237.35009765625,0.0,237.35009765625,474.700195,237.35009734375,49.99999996708449,0.0,0
gpt2,124439808,fp16,64,scale_plus_zero_point,2.0,237.35009765625,0.0,237.35009765625,474.700195,237.35009734375,49.99999996708449,0.0,0
gpt2,124439808,fp16,128,scale_plus_zero_point,2.0,237.35009765625,0.0,237.35009765625,474.700195,237.35009734375,49.99999996708449,0.0,0
gpt2,124439808,fp16,256,scale_plus_zero_point,2.0,237.35009765625,0.0,237.35009765625,474.700195,237.35009734375,49.99999996708449,0.0,0
gpt2,124439808,int8,32,scale_plus_zero_point,1.0,118.675048828125,14.834381103515625,133.50942993164062,474.700195,341.1907650683594,71.87499998148502,12.5,3888744
gpt2,124439808,int8,64,scale_plus_zero_point,1.0,118.675048828125,7.4171905517578125,126.09223937988281,474.700195,348.6079556201172,73.43749998251363,6.25,1944372
gpt2,124439808,int8,128,scale_plus_zero_point,1.0,118.675048828125,3.7085952758789062,122.3836441040039,474.700195,352.3165508959961,74.21874998302795,3.125,972186
gpt2,124439808,int8,256,scale_plus_zero_point,1.0,118.675048828125,1.8542976379394531,120.52934646606445,474.700195,354.17084853393555,74.6093749832851,1.5625,486093
gpt2,124439808,int4,32,scale_plus_zero_point,0.5,59.3375244140625,14.834381103515625,74.17190551757812,474.700195,400.5282894824219,84.3749999897139,25.0,3888744
gpt2,124439808,int4,64,scale_plus_zero_point,0.5,59.3375244140625,7.4171905517578125,66.75471496582031,474.700195,407.9454800341797,85.93749999074251,12.5,1944372
gpt2,124439808,int4,128,scale_plus_zero_point,0.5,59.3375244140625,3.7085952758789062,63.046119689941406,474.700195,411.6540753100586,86.71874999125681,6.25,972186
gpt2,124439808,int4,256,scale_plus_zero_point,0.5,59.3375244140625,1.8542976379394531,61.19182205200195,474.700195,413.50837294799805,87.10937499151396,3.125,486093
