batch_size,sequence_length,num_parameters,fp32_parameter_memory_MB,estimated_total_activation_memory_MB,scope_note_x,architecture,model_name,peak_allocated_MB,peak_reserved_MB,final_allocated_MB,final_reserved_MB,profiling_status,scope_note_y
1,32,28232706,107.69922637939453,0.37890625,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,117.32568359375,128.0,116.82568359375,128.0,measured_cuda,Measured CUDA forward-pass memory.
1,64,28232706,107.69922637939453,0.765625,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,117.826171875,128.0,116.82568359375,128.0,measured_cuda,Measured CUDA forward-pass memory.
1,128,28232706,107.69922637939453,1.5625,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,118.8271484375,130.0,116.826171875,130.0,measured_cuda,Measured CUDA forward-pass memory.
1,256,28232706,107.69922637939453,3.25,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,120.8291015625,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
1,512,28232706,107.69922637939453,7.0,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,124.8330078125,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
2,32,28232706,107.69922637939453,0.7578125,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,117.826171875,128.0,116.82568359375,128.0,measured_cuda,Measured CUDA forward-pass memory.
2,64,28232706,107.69922637939453,1.53125,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,118.82666015625,130.0,116.826171875,130.0,measured_cuda,Measured CUDA forward-pass memory.
2,128,28232706,107.69922637939453,3.125,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,120.828125,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
2,256,28232706,107.69922637939453,6.5,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,124.8310546875,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
2,512,28232706,107.69922637939453,14.0,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,132.8369140625,148.0,116.8330078125,148.0,measured_cuda,Measured CUDA forward-pass memory.
4,32,28232706,107.69922637939453,1.515625,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,118.82666015625,130.0,116.826171875,130.0,measured_cuda,Measured CUDA forward-pass memory.
4,64,28232706,107.69922637939453,3.0625,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,120.82763671875,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
4,128,28232706,107.69922637939453,6.25,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,124.830078125,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
4,256,28232706,107.69922637939453,13.0,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,132.8349609375,148.0,116.8330078125,148.0,measured_cuda,Measured CUDA forward-pass memory.
4,512,28232706,107.69922637939453,28.0,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,148.8447265625,168.0,116.8408203125,168.0,measured_cuda,Measured CUDA forward-pass memory.
8,32,28232706,107.69922637939453,3.03125,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,120.82763671875,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
8,64,28232706,107.69922637939453,6.125,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,124.82958984375,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
8,128,28232706,107.69922637939453,12.5,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,132.833984375,148.0,116.8330078125,148.0,measured_cuda,Measured CUDA forward-pass memory.
8,256,28232706,107.69922637939453,26.0,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,148.8427734375,168.0,116.8408203125,168.0,measured_cuda,Measured CUDA forward-pass memory.
8,512,28232706,107.69922637939453,56.0,Analytical Transformer activation-memory estimate.,Transformer,SimpleTransformerClassifier,180.8603515625,224.0,116.8564453125,224.0,measured_cuda,Measured CUDA forward-pass memory.
