architecture,model_name,batch_size,sequence_length,peak_allocated_MB,peak_reserved_MB,final_allocated_MB,final_reserved_MB,profiling_status,scope_note
Transformer,SimpleTransformerClassifier,1,32,117.32568359375,128.0,116.82568359375,128.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,1,64,117.826171875,128.0,116.82568359375,128.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,1,128,118.8271484375,130.0,116.826171875,130.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,1,256,120.8291015625,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,1,512,124.8330078125,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,2,32,117.826171875,128.0,116.82568359375,128.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,2,64,118.82666015625,130.0,116.826171875,130.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,2,128,120.828125,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,2,256,124.8310546875,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,2,512,132.8369140625,148.0,116.8330078125,148.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,4,32,118.82666015625,130.0,116.826171875,130.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,4,64,120.82763671875,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,4,128,124.830078125,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,4,256,132.8349609375,148.0,116.8330078125,148.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,4,512,148.8447265625,168.0,116.8408203125,168.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,8,32,120.82763671875,130.0,116.8271484375,130.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,8,64,124.82958984375,152.0,116.8291015625,152.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,8,128,132.833984375,148.0,116.8330078125,148.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,8,256,148.8427734375,168.0,116.8408203125,168.0,measured_cuda,Measured CUDA forward-pass memory.
Transformer,SimpleTransformerClassifier,8,512,180.8603515625,224.0,116.8564453125,224.0,measured_cuda,Measured CUDA forward-pass memory.
