memory_limit_MB,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
768,14,14,0,0,100.0,0.0,0.0
1024,14,13,1,0,92.85714285714286,7.142857142857142,0.0
1200,14,14,0,0,100.0,0.0,0.0
1300,14,13,1,0,92.85714285714286,7.142857142857142,0.0
1400,14,13,1,0,92.85714285714286,7.142857142857142,0.0
1500,14,14,0,0,100.0,0.0,0.0
1600,14,14,0,0,100.0,0.0,0.0
1700,14,11,3,0,78.57142857142857,21.428571428571427,0.0
1800,14,13,0,1,92.85714285714286,0.0,7.142857142857142
1900,14,13,0,1,92.85714285714286,0.0,7.142857142857142
2000,14,14,0,0,100.0,0.0,0.0
2048,14,14,0,0,100.0,0.0,0.0
2200,14,14,0,0,100.0,0.0,0.0
2400,14,14,0,0,100.0,0.0,0.0
2600,14,12,2,0,85.71428571428571,14.285714285714285,0.0
2800,14,14,0,0,100.0,0.0,0.0
3072,14,14,0,0,100.0,0.0,0.0
4096,14,14,0,0,100.0,0.0,0.0
8192,14,14,0,0,100.0,0.0,0.0
